DIRECT_INFO_L 0 10122 0 5.377074
DIRECT_INFO_R 0 9969 0 5.295973
MODE: Multi
Time Resolution : 640000
Volume Resolution : 1000000
100Hz
L 15674 784 8.326837
L 15680 784 8.330089
L 15686 784 8.333348
L 15692 784 8.336615
L 15699 784 8.339890
L 15705 784 8.343173
L 15711 784 8.346463
L 15717 784 8.349762
L 15723 784 8.353069
L 15730 784 8.356384
L 15736 784 8.359707
L 15742 784 8.363037
L 15748 783 8.366376
L 15755 783 8.369724
L 15761 783 8.373078
L 15767 783 8.376442
L 15774 783 8.379813
L 15780 783 8.383194
L 15787 783 8.386582
L 15791 3442 8.389027
L 15793 783 8.389978
L 15799 783 8.393384
L 15806 783 8.396797
L 15812 783 8.400218
L 15819 783 8.403648
L 15825 783 8.407085
L 15832 783 8.410534
L 15838 782 8.413988
L 15844 3450 8.417009
L 15845 782 8.417452
L 15851 782 8.420925
L 15858 782 8.424406
L 15864 782 8.427896
L 15871 782 8.431394
L 15877 782 8.434901
L 15884 782 8.438416
L 15891 782 8.441940
L 15897 782 8.445475
L 15904 782 8.449016
L 15911 782 8.452566
L 15917 782 8.456126
L 15924 782 8.459694
L 15931 782 8.463271
L 15938 781 8.466858
L 15944 781 8.470453
L 15951 781 8.474059
L 15952 3467 8.474727
L 15958 781 8.477673
L 15965 781 8.481296
L 15972 781 8.484926
L 15978 781 8.488566
L 15985 781 8.492217
L 15992 781 8.495876
L 15999 781 8.499545
L 16006 781 8.503223
L 16013 781 8.506909
L 16020 781 8.510606
L 16027 781 8.514311
L 16034 781 8.518027
L 16041 781 8.521753
L 16048 781 8.525487
L 16055 781 8.529231
L 16062 780 8.532984
L 16066 3483 8.534861
L 16069 780 8.536747
L 16076 780 8.540520
L 16083 780 8.544302
L 16091 780 8.548095
L 16098 780 8.551897
L 16105 780 8.555708
L 16112 780 8.559528
L 16119 780 8.563360
L 16126 780 8.567202
L 16134 780 8.571053
L 16141 780 8.574915
L 16148 780 8.578785
L 16156 780 8.582666
L 16163 780 8.586557
L 16170 780 8.590459
L 16178 780 8.594369
L 16184 3499 8.597517
L 16185 780 8.598291
L 16192 780 8.602223
L 16200 780 8.606167
L 16207 780 8.610119
L 16215 779 8.614082
L 16222 779 8.618054
L 16230 779 8.622039
L 16237 779 8.626034
L 16244 3507 8.629825
L 16245 779 8.630038
L 16252 779 8.634053
L 16260 779 8.638080
L 16268 779 8.642117
L 16275 779 8.646164
L 16283 779 8.650223
L 16290 779 8.654290
L 16298 779 8.658371
L 16306 779 8.662460
L 16314 779 8.666562
L 16321 779 8.670675
L 16329 779 8.674799
L 16337 779 8.678934
L 16345 779 8.683079
L 16352 779 8.687235
L 16360 779 8.691403
L 16368 779 8.695581
L 16370 3523 8.696473
L 16376 779 8.699772
L 16384 779 8.703974
L 16392 779 8.708187
L 16400 779 8.712412
L 16408 779 8.716648
L 16416 778 8.720895
L 16424 778 8.725153
L 16432 778 8.729424
L 16440 778 8.733706
L 16448 778 8.738001
L 16456 778 8.742306
L 16464 778 8.746624
L 16472 778 8.750953
L 16481 778 8.755294
L 16489 778 8.759647
L 16497 778 8.764012
L 16501 3538 8.765928
L 16505 778 8.768389
L 16513 778 8.772777
L 16522 778 8.777179
L 16530 778 8.781591
L 16538 778 8.786016
L 16547 778 8.790455
L 16555 778 8.794906
L 16564 778 8.799368
L 16568 3546 8.801744
L 16572 778 8.803843
L 16580 778 8.808331
L 16589 778 8.812831
L 16597 778 8.817344
L 16606 778 8.821868
L 16614 778 8.826406
L 16623 778 8.830958
L 16632 778 8.835521
L 16640 778 8.840098
L 16649 778 8.844687
L 16657 778 8.849289
L 16666 778 8.853905
L 16675 778 8.858533
L 16684 778 8.863174
L 16692 778 8.867830
L 16701 778 8.872498
L 16707 3560 8.875629
L 16710 778 8.877178
L 16719 778 8.881873
L 16728 778 8.886581
L 16737 778 8.891303
L 16745 778 8.896039
L 16754 778 8.900787
L 16763 778 8.905550
L 16772 778 8.910327
L 16779 3567 8.913733
L 16781 778 8.915116
L 16790 778 8.919920
L 16800 778 8.924738
L 16809 777 8.929570
L 16818 777 8.934417
L 16827 777 8.939276
L 16836 777 8.944149
L 16845 777 8.949038
L 16854 777 8.953939
L 16864 777 8.958857
L 16873 777 8.963788
L 16882 777 8.968735
L 16892 777 8.973695
L 16901 777 8.978670
L 16910 777 8.983659
L 16920 777 8.988664
L 16927 3582 8.992327
L 16929 777 8.993683
L 16939 777 8.998717
L 16948 777 9.003767
L 16958 777 9.008830
L 16967 777 9.013910
L 16977 777 9.019003
L 16987 777 9.024113
L 16996 777 9.029239
L 17006 777 9.034379
L 17016 777 9.039534
L 17025 777 9.044704
L 17035 777 9.049891
L 17045 777 9.055094
L 17055 777 9.060312
L 17065 777 9.065545
L 17074 777 9.070796
L 17084 777 9.076061
L 17094 777 9.081343
L 17104 777 9.086641
L 17114 777 9.091955
L 17124 777 9.097284
L 17134 777 9.102631
L 17144 777 9.107993
L 17155 777 9.113374
L 17160 3602 9.116455
L 17165 777 9.118770
L 17175 777 9.124182
L 17185 777 9.129611
L 17195 777 9.135057
L 17206 777 9.140520
L 17216 777 9.146000
L 17226 777 9.151496
L 17237 777 9.157011
L 17247 777 9.162542
L 17258 777 9.168090
L 17268 777 9.173657
L 17279 777 9.179239
L 17289 777 9.184840
L 17300 777 9.190458
L 17310 777 9.196094
L 17321 778 9.201749
L 17332 778 9.207420
L 17342 778 9.213110
L 17353 778 9.218818
L 17364 778 9.224544
L 17375 778 9.230288
L 17386 778 9.236050
L 17396 778 9.241831
L 17407 778 9.247629
L 17409 3621 9.248466
L 17418 778 9.253448
L 17429 778 9.259284
L 17440 778 9.265140
L 17451 778 9.271014
L 17462 778 9.276907
L 17474 778 9.282819
L 17485 778 9.288751
L 17495 3627 9.294299
L 17496 778 9.294702
L 17507 778 9.300672
L 17518 778 9.306661
L 17530 778 9.312669
L 17541 778 9.318699
L 17552 778 9.324745
L 17564 778 9.330814
L 17575 778 9.336902
L 17583 3633 9.341082
L 17587 778 9.343010
L 17598 778 9.349138
L 17610 778 9.355287
L 17622 778 9.361455
L 17633 778 9.367645
L 17645 778 9.373854
L 17657 778 9.380085
L 17668 778 9.386335
L 17680 778 9.392608
L 17692 778 9.398900
L 17704 778 9.405215
L 17716 778 9.411550
L 17728 778 9.417906
L 17740 778 9.424284
L 17752 778 9.430684
L 17764 778 9.437105
L 17776 778 9.443548
L 17788 778 9.450012
L 17800 778 9.456501
L 17813 778 9.463009
L 17825 778 9.469539
L 17837 779 9.476092
L 17850 779 9.482669
L 17862 779 9.489267
L 17875 779 9.495888
L 17887 779 9.502531
L 17900 779 9.509199
L 17912 779 9.515888
L 17925 779 9.522602
L 17938 779 9.529338
L 17950 779 9.536098
L 17963 779 9.542881
L 17976 779 9.549688
L 17989 779 9.556519
L 18002 779 9.563374
L 18015 779 9.570252
L 18028 779 9.577155
L 18041 779 9.584084
L 18054 779 9.591034
L 18067 779 9.598010
L 18080 779 9.605013
L 18093 779 9.612038
L 18107 779 9.619089
L 18120 779 9.626165
